상권_코드,상권_코드_명,상권_구분_코드_명,상권_유형_더미,자치구_코드,자치구_코드_명,면적_km2,log_sales,log_sales_total,유동인구,직장인구,점포_수,개업률,폐업률,경쟁_집중도,식음료_비율
3110331,돌곶이역 8번,골목상권,0,11290,성북구,0.105931,16.899867882630673,21.954363642374293,1181573.75,855.0,156.75,5.751475,4.159725,1.0907643312101911,0.2898089171974522
3110333,돌곶이역 5번,골목상권,0,11290,성북구,0.067373,16.733226638104007,21.74362695313324,961071.25,652.0,150.0,2.489075,2.682325,1.1281198003327788,0.22795341098169716
3110334,석관중앙교회,골목상권,0,11290,성북구,0.084276,16.293145439356735,21.211202099141715,1908680.75,179.0,136.75,3.2748,2.0103999999999997,1.0456204379562044,0.20072992700729927
3110335,석계역 7번,골목상권,0,11290,성북구,0.140761,17.257819268214533,22.80100909270075,1398014.0,552.0,255.5,3.42505,3.132075,1.1173020527859236,0.4203323558162268
3110336,석관고등학교,골목상권,0,11290,성북구,0.062554,15.033361334746958,19.156365251073712,538023.0,245.0,61.75,2.8362000000000003,2.4458,1.0403225806451613,0.32661290322580644
3110337,아카데미하우스,골목상권,0,11305,강북구,0.120638,16.87760851610024,21.09335833185809,472355.25,386.0,67.75,4.0664,5.174975,1.1323529411764706,0.5698529411764706
3110340,인수중학교,골목상권,0,11305,강북구,0.050149,13.952681623950854,17.75921976010075,286393.75,235.0,45.0,3.3097,3.914675,1.0497237569060773,0.17679558011049723
3110341,북한산우이역 2번,골목상권,0,11305,강북구,0.140183,16.458482112968,20.865015332932973,286492.25,473.0,82.0,3.344075,3.979825,1.0577507598784195,0.5015197568389058
3110342,국립재활원,골목상권,0,11305,강북구,0.062499,13.035293666485002,16.754597317881412,996191.0,69.0,41.25,4.8082,3.0509,1.0542168674698795,0.12048192771084337
3110345,솔밭공원역 2번,골목상권,0,11305,강북구,0.103855,16.892518822437047,21.66931823718527,675933.75,373.0,118.75,3.7767749999999998,3.152225,1.084033613445378,0.32563025210084034
3110346,4.19민주묘지역 2번,골목상권,0,11305,강북구,0.060794,16.51928532875066,20.869501289780423,524343.25,213.0,77.5,5.47015,6.435975,1.1929260450160772,0.3987138263665595
3110348,강북문화예술회관,골목상권,0,11305,강북구,0.122433,16.30393637617099,21.024158658673546,1727685.0,485.0,112.25,3.538675,2.0476,1.0866666666666667,0.21555555555555556
3110350,가오리역 2번,골목상권,0,11305,강북구,0.075348,16.021493442094222,20.377911189340754,795817.0,234.0,78.0,2.8324,3.240275,1.073482428115016,0.28434504792332266
3110351,수유북부시장옆,골목상권,0,11305,강북구,0.078839,15.321548893765481,19.83213632496169,871739.5,391.0,91.0,5.177125,2.72095,1.010958904109589,0.23835616438356164
3110352,수유1동주민센터,골목상권,0,11305,강북구,0.134108,17.026917313263233,22.006992970791174,1538344.5,268.0,145.5,3.425375,2.939925,1.0806174957118353,0.20926243567753003
3110353,수유동우체국,골목상권,0,11305,강북구,0.075187,16.347732061262803,20.964383206910178,851397.75,263.0,101.25,4.40815,1.72905,1.0541871921182266,0.2438423645320197
3110355,삼양사거리역 2번,골목상권,0,11305,강북구,0.101492,17.075093880670373,21.63679708095725,1687461.5,175.0,95.75,4.4384,3.9256,1.109375,0.18229166666666666
3110356,덕수교,골목상권,0,11305,강북구,0.102062,16.21629749430743,20.428174701201698,1040723.5,167.0,67.5,3.332125,0.7353,1.0738007380073802,0.2066420664206642
3110358,인수동 우편취급국,골목상권,0,11305,강북구,0.111455,15.500778321605592,20.201175844468672,1218655.75,767.0,110.0,3.4055,3.434375,1.0748299319727892,0.31519274376417233
3110359,수유시장옆,골목상권,0,11305,강북구,0.135413,16.493221150725986,21.20723561886418,1230066.0,147.0,111.5,5.8317250000000005,4.7076,1.174496644295302,0.20134228187919462
3110360,수유초등학교,골목상권,0,11305,강북구,0.106526,16.178104485934842,21.461262827564006,1722882.25,385.0,197.0,4.05745,3.29915,1.044359949302915,0.3193916349809886
3110361,삼양사거리역 1번,골목상권,0,11305,강북구,0.074852,15.29811834923958,19.833275791004674,783155.5,134.0,93.25,2.942925,5.08855,1.03475935828877,0.20588235294117646
3110362,우이천 계성교,골목상권,0,11305,강북구,0.142902,15.808387594345948,20.77097693055616,1456344.25,323.0,143.0,5.764075,3.655025,1.050610820244328,0.21465968586387435
3110364,미아역 8번,골목상권,0,11305,강북구,0.12715,16.068605564406546,21.166915057588092,1667869.0,174.0,163.75,2.90025,3.522075,1.083841463414634,0.18597560975609756
3110365,미아역 5번,골목상권,0,11305,강북구,0.115228,16.203008563583474,20.916862101112844,1549718.25,77.0,111.5,3.777875,2.715575,1.0604026845637584,0.21029082774049218
3110366,광산사거리,골목상권,0,11305,강북구,0.057563,16.1233348084107,20.748259461670237,660767.5,152.0,102.0,3.4317,3.936375,1.0268948655256724,0.3691931540342298
3110367,강북구청,골목상권,0,11305,강북구,0.063938,16.03769919640748,20.925684696323252,1568279.0,324.0,132.75,6.40905,3.56765,1.0413533834586466,0.3308270676691729
3110368,송천초등학교,골목상권,0,11305,강북구,0.105075,15.536541713041327,20.476327317498164,2300091.25,57.0,139.75,4.114025,3.583475,1.0642857142857143,0.26785714285714285
3110369,성신여대운정그린캠퍼스,골목상권,0,11305,강북구,0.133932,16.938277264679403,22.464708323142894,1339466.5,583.0,251.25,5.671975,4.178675,1.0636182902584492,0.3359840954274354
